Ano,Localização,Rede,R_EF_Total,R1EF,R2EF,R3EF,4REF,R5EF,R6EF,R7EF,R8EF,R9EF,RTotal - EM,R1EM,R2EM,R3EM,R4EM,RNão-Seriado
2010,Total,Publico,11.2,2.6,10.3,13.4,9.1,9.1,16.4,14.1,11.6,11.1,13.4,18.1,11.9,7.8,5.1,9.3
2010,Urbana,Publico,11,2.2,9.3,12.5,8,8.4,16.3,14.3,12,11.7,13.6,18.3,12.1,8,5.2,9.4
2010,Rural,Total,12.1,4.4,13.5,16.5,13,11.6,17.1,12.3,8.9,5.9,7.6,10.8,6.6,3.6,2.4,7.4
2010,Total,Total,10.3,2.6,9.2,12.1,8.2,8.2,15.2,13.1,10.8,10.4,12.5,17.2,11.1,7.1,4.9,8.8
2010,Urbana,Total,9.9,2.1,8.1,11,7.1,7.5,14.9,13.2,11.1,10.9,12.7,17.4,11.3,7.2,5,8.9
2009,Total,Total,11.1,3,11,12.8,8.7,8.7,16.5,13.6,11.5,11.1,12.6,17.3,11.3,7.4,3.4,9.2
2009,Rural,Estadual,11.3,3.4,13.3,14.2,11.1,9.9,15.5,12.1,9.6,7.3,7.1,9.9,6.2,3.8,2.7,3.6
2009,Total,Estadual,12,1.6,6.8,9.5,6,8.1,16.4,14.2,12.5,13.5,13.5,18.1,12.1,8.2,3.6,10
2009,Urbana,Estadual,12,1.5,6.3,9.1,5.7,8,16.5,14.3,12.7,13.8,13.7,18.4,12.3,8.4,3.6,10.3
2009,Rural,Federal,6.5,--,0,0,0,0,9.1,10,16.7,20,11.2,15.9,10.6,4.3,0,12.3
2009,Total,Federal,8.8,3.8,4.7,3.8,4.9,4.1,10.6,10.1,11,10.3,12.6,18.4,12.2,6.1,6.2,7.9
2009,Urbana,Federal,8.8,3.8,4.7,3.8,5,4.1,10.6,10.1,10.9,10.3,12.9,18.9,12.5,6.5,6.5,7.7
2009,Rural,Municipal,14.1,5.7,19.2,18.3,14.5,12,18.4,12.6,9.1,5.8,6.1,9.9,5.3,2.3,1.1,0.7
2009,Total,Municipal,12.2,3.4,13.5,15.5,10.7,10.1,19.3,15.2,11.9,9.2,10,15.1,9.8,5.2,1.2,7.8
2009,Urbana,Municipal,11.6,2.8,11.2,14.4,9.4,9.5,19.5,16,12.7,10.2,10.6,16.1,10.6,5.6,1.2,8.2
2009,Rural,Particular,7.8,9.5,8.6,7.7,8.1,6.4,10.1,6.8,5.7,6.8,4.5,7.6,3.7,1.3,1.4,--
2009,Total,Particular,3.4,2.1,2.3,2,1.9,2.2,4.6,5.5,5.2,5.4,6.2,9.9,5.5,2.7,2.2,5
2009,Urbana,Particular,3.4,2,2.2,2,1.8,2.1,4.5,5.5,5.2,5.4,6.2,9.9,5.5,2.7,2.2,5
2009,Rural,Publico,13.8,5.6,18.8,18,14.2,11.8,17.9,12.5,9.2,6.1,7.3,10.2,6.3,3.7,2,5
2009,Total,Publico,12.1,3.2,12.1,14.1,9.6,9.6,17.8,14.6,12.3,11.9,13.5,18.1,12.1,8.2,3.5,9.7
2009,Urbana,Publico,11.8,2.6,10,13,8.3,9,17.8,14.9,12.7,12.6,13.7,18.4,12.3,8.3,3.5,9.8
2009,Rural,Total,13.8,5.6,18.7,17.9,14.2,11.8,17.9,12.5,9.2,6.2,7.2,10.2,6.3,3.7,1.9,5
2009,Urbana,Total,10.6,2.5,8.8,11.5,7.4,8.1,16.3,13.8,11.7,11.6,12.8,17.5,11.5,7.6,3.5,9.3
2008,Rural,Estadual,4.5,16,16,10.8,12,16.2,12.6,10.2,8.1,12.4,9.7,6.2,3.8,1.2,2,7.1
2008,Rural,Federal,--,14.3,0,0,7.7,8.3,0,16.7,0,5.4,19.2,11.9,6,0,18.9,13.4
2008,Rural,Municipal,7,22.8,19.9,15.6,12.5,19.1,13.4,9.7,6,15.8,11.2,6.3,2.6,1.2,0.9,7.3
2008,Rural,Particular,4.6,17.5,7.6,6.9,6.8,9,6.9,6,4,8.4,7.8,5.2,3.6,3,6.2,5.6
2008,Rural,Publico,6.8,22.4,19.6,15.3,12.5,18.6,13.3,9.8,6.5,15.4,10.4,6.5,3.9,1.2,4.1,7.5
2008,Rural,Total,6.8,22.3,19.5,15.2,12.5,18.5,13.2,9.7,6.5,15.3,10.3,6.5,3.8,1.4,4.1,7.4
2008,Total,Estadual,1.9,8.3,10.7,6.6,9.5,17.4,15.3,13.3,14.3,12.8,17.1,11.9,8.6,3.7,10.8,13.1
2008,Total,Federal,3,5.2,5,3.4,5.4,11.5,9.8,12.4,11.3,9.4,18.8,12,6.6,9.9,14.4,13.4
2008,Total,Municipal,4.1,15.4,16.1,11,10.4,19.2,15.2,11.5,9.5,12.9,15.5,10.2,6.9,2.2,5,10.9
2008,Total,Particular,1.8,2.3,1.9,1.8,2.1,4.5,5.3,5.1,5.4,3.3,9.4,5.4,2.7,1.4,6.9,6
2008,Total,Publico,3.7,13.8,14.9,9.9,10.1,18.2,15.2,12.5,12.5,12.8,17.1,11.9,8.6,3.8,10.7,13.1
2008,Total,Total,3.5,12.6,13.5,9.1,9.3,16.9,14.2,11.7,11.7,11.8,16.3,11.1,7.8,3.6,10.4,12.3
2008,Urbana,Estadual,1.6,7.6,10.3,6.3,9.3,17.4,15.4,13.4,14.6,12.9,17.3,12.1,8.7,3.7,11,13.3
2008,Urbana,Federal,3,5.2,5,3.4,5.4,11.5,9.8,12.4,11.3,9.4,18.7,12.1,6.7,10.4,14.2,13.4
2008,Urbana,Municipal,3.3,12.1,14.7,9.3,9.7,19.2,15.7,12,10.4,11.9,16.5,11.1,7.6,2.4,5.4,11.7
2008,Urbana,Particular,1.8,2.1,1.8,1.8,2.1,4.4,5.3,5.1,5.4,3.3,9.4,5.4,2.7,1.3,6.9,6
2008,Urbana,Publico,2.9,10.9,13.5,8.4,9.5,18.2,15.5,12.9,13.2,12.3,17.3,12,8.7,3.9,10.9,13.3
2008,Urbana,Total,2.8,9.7,11.9,7.5,8.6,16.7,14.3,12,12.3,11.2,16.5,11.3,7.9,3.7,10.6,12.4
2007,Rural,Estadual,4,17.5,16.4,10.8,14.4,16.7,13.3,9.9,9,13.2,10.4,7.6,6,3.8,2,8.4
2007,Rural,Federal,,10,11.1,0,0,28.6,,0,0,5.4,17.2,9.5,6.8,,9.9,12.1
2007,Rural,Municipal,8.4,24.3,19.9,15.7,12.4,17.8,12.2,8.8,5.7,16.2,8.6,5.5,3.5,0.8,0.3,6.3
2007,Rural,Particular,4.6,16,6.8,6.6,7.6,7.9,6.7,5.2,3.6,7.9,5.9,3.3,2.9,0,,4.1
2007,Rural,Publico,8.1,23.9,19.6,15.3,12.6,17.6,12.4,9,6.5,15.8,10.5,7.4,5.8,2.4,2.2,8.3
2007,Rural,Total,8,23.8,19.6,15.3,12.5,17.5,12.4,9,6.4,15.8,10.4,7.3,5.7,2.3,2.2,8.2
2007,Total,Estadual,2.6,10.2,11.5,7.2,10.7,17.1,14.7,12.8,14.4,13,17.1,12.2,9.7,4.1,12.1,13.6
2007,Total,Federal,4.8,5.2,4.8,4.8,4.3,10,13.5,12.1,11.2,9.7,18.9,10.6,7.5,5.4,13.7,13.1
2007,Total,Municipal,4.6,16.4,16.1,11.4,10.6,18.2,14,10.7,9,13,13.6,10.3,7.3,2,3.6,10.6
2007,Total,Particular,2,2.3,1.9,1.7,2,4.1,4.9,4.8,4.8,3.1,8.9,4.9,2.5,1.8,4.9,5.6
2007,Total,Publico,4.2,15,15,10.4,10.6,17.6,14.4,12,12.5,13,17.1,12.1,9.6,3.8,11.8,13.5
2007,Total,Total,4,13.8,13.9,9.6,9.9,16.5,13.6,11.3,11.7,12.1,16.4,11.4,8.8,3.7,11.2,12.7
2007,Urbana,Estadual,2.5,9.6,11.2,7,10.5,17.1,14.7,12.9,14.6,13,17.3,12.3,9.8,4.1,12.2,13.7
2007,Urbana,Federal,4.8,5.2,4.8,4.8,4.3,9.9,13.5,12.1,11.2,9.7,19.2,10.8,7.6,5.4,13.8,13.3
2007,Urbana,Municipal,3.5,12.8,14.7,9.8,10,18.4,14.6,11.3,9.9,11.9,14.7,11.2,8,2.2,4.7,11.5
2007,Urbana,Particular,2,2.1,1.8,1.6,1.9,4,4.8,4.8,4.8,3.1,8.9,4.9,2.5,1.9,4.9,5.6
2007,Urbana,Publico,3.3,11.9,13.6,8.9,10.1,17.6,14.7,12.3,13.1,12.4,17.3,12.3,9.8,3.9,12,13.7
2007,Urbana,Total,3.1,10.7,12.3,8.1,9.2,16.4,13.7,11.5,12.2,11.4,16.6,11.5,8.9,3.7,11.4,12.8
